file_id,label_primary,label_sample
c5415243-f09a-4d9e-80d6-c1df7e6c9e3d,1,0
5bfcb451-b898-45cc-82f5-93edbb475cf2,1,0
5c97f076-c198-4d3d-b680-97c3e9fb08db,1,0
3b7583b0-9f6c-48d6-b3af-e19832bf2d9f,1,0
553abd08-4f08-4084-8d2e-8a56d6d6e120,1,0
30843a4c-9ac8-4f2c-85ec-f33b87e716ae,1,0
c1c6a9a5-73f2-414a-896d-4d3e564f6e59,0,1
053e50eb-7f13-4fed-9264-ee6e9cf86f76,1,0
17e0d741-efb2-463b-ab38-7b9f8e449cc2,1,0
bd3542ab-4313-404a-9bbf-2aa20103b724,1,0
4328f48c-5c7d-4ec4-98fc-f4a28674c49f,1,0
e417dd1c-a082-4acc-a01a-da833f20b936,1,0
76c7c7b9-0ea8-4a26-bcf4-ad15da31c05d,1,0
9e73d394-b8e3-4ee2-bb35-a1fb43fd280f,1,0
342e1ce8-6605-4daa-bfc7-4ab5924bbffd,1,0
016db033-3cec-4c63-b90f-0428da475a63,1,0
d89ab176-7669-47d8-9a8f-9334d4928735,1,0
520792ea-db7f-4eb0-a34b-98b5bb2b7eb3,1,0
d2366daf-c8d3-4384-ac08-ec0f245d8618,1,0
6e684fdf-142e-4285-a259-6457763d95a9,1,0
6a06c9d6-3937-44c1-9e11-dddb3ba787b1,1,0
144c5bf9-5214-4911-a403-01f9b479ab63,1,0
dc8d96ef-81eb-41c8-a486-02d107c1a137,1,0
bb7f69e5-2fff-4178-bc7b-93a41fbe6123,1,0
308e951f-6d14-48fc-ab0f-604364928a56,1,0
7406d49b-2695-4a31-a284-026fdc12debd,1,0
2d1240f7-4d76-4364-87bc-943032f84702,1,0
4582abaa-1674-46f5-b049-96d9225759e2,1,0
1022aa8a-ff64-4756-b20f-43a12a53efc1,1,0
66d15d9c-5acd-4ff8-b4fe-b4bc3e10ba9b,1,0
4f513085-a7f0-495c-9a87-34f70d757900,1,0
4c626a21-9601-426a-9df4-3e2a7e2811d3,1,0
5a647051-a5d5-4188-8671-bf1784415255,1,0
bcf59ef3-e66b-49b6-92a8-478097e710c2,0,1
e955427b-ab30-4634-b168-e46461dda626,1,0
4c77f7fb-e9ad-4fa1-be7f-63db632adb60,1,0
4dbb7005-c218-434a-a462-6a7243edee12,1,0
05f36336-c79f-45cf-bdde-1acda13d415b,1,0
6e415513-48bf-4eaf-b2c5-4570c63ebeb1,1,0
1bb15d67-0bcb-4d29-b186-2d57a0247f64,1,0
3d53785d-0e73-40d1-a6f5-644fe778417c,1,0
cab62404-4930-4260-b047-0029de7fad38,1,0
fd3b0853-0da6-41a2-8194-fd29e190ebd0,1,0
09ace4e7-5c45-4492-b97c-46aa467820aa,0,1
71b9896d-73fb-4f32-8e6e-e5d839095961,1,0
0d11e213-5ddf-4d0a-9987-f9d0a3056f3a,1,0
9c762806-4ac1-4609-ae3e-0597c35d6203,0,1
